x values, y values 
-25.0, 938.0
-24.0, 735.0
-23.0, 615.0
-22.0, 832.0
-21.0, 517.0
-20.0, 585.0
-19.0, 409.0
-18.0, 523.0
-17.0, 344.0
-16.0, 99.0
-15.0, 346.0
-14.0, 229.0
-13.0, 164.0
-12.0, 233.0
-11.0, -62.0
-10.0, -40.0
-9.0, 25.0
-8.0, -164.0
-7.0, -104.0
-6.0, -231.0
-5.0, -371.0
-4.0, 7.0
-3.0, -359.0
-2.0, -401.0
-1.0, -345.0
0.0, -321.0
1.0, -129.0
2.0, -460.0
3.0, 5.0
4.0, 40.0
5.0, -375.0
6.0, -149.0
7.0, -176.0
8.0, -50.0
9.0, 42.0
10.0, -195.0
11.0, 275.0
12.0, 245.0
13.0, 65.0
14.0, 384.0
15.0, 25.0
16.0, 119.0
17.0, 288.0
18.0, 644.0
19.0, 740.0
20.0, 405.0
21.0, 581.0
22.0, 690.0
23.0, 742.0
24.0, 978.0
25.0, 1049.0
