x values, y values 
-25.0, 636.9460317460318
-24.0, 601.4582010582011
-23.0, 572.9887226001512
-22.0, 549.1582781557067
-21.0, 523.1462880322499
-20.0, 501.70664003224994
-19.0, 467.1690880608718
-18.0, 431.2844725224087
-17.0, 394.1656363440947
-16.0, 355.6395554308954
-15.0, 313.64046287662916
-14.0, 269.12454873752324
-13.0, 223.69123001929012
-12.0, 178.8457249283632
-11.0, 134.44377597916747
-10.0, 89.86992611881361
-9.0, 45.86801526574594
-8.0, 6.1359486659079066
-7.0, -33.38374756876682
-6.0, -70.79866164368848
-5.0, -99.81707313294135
-4.0, -120.89393036626272
-3.0, -138.76661225069546
-2.0, -151.67236307044482
-1.0, -156.13185201157688
0.0, -159.54966449590557
1.0, -162.87644965179905
2.0, -161.6127644710949
3.0, -153.32960014082806
4.0, -140.65921686752006
5.0, -124.02917293563698
6.0, -100.99761597563102
7.0, -73.24692142167746
8.0, -47.03743852269107
9.0, -22.13481186265897
10.0, 8.774769487832774
11.0, 41.649740623438205
12.0, 77.12056008553152
13.0, 119.50771930002377
14.0, 168.1003973930393
15.0, 216.01855581060568
16.0, 265.44132159907866
17.0, 320.06924787913215
18.0, 373.74660208412644
19.0, 424.9200563663911
20.0, 474.93008285644873
21.0, 519.3793292626237
22.0, 537.8366306679964
23.0, 551.5440222861728
24.0, 558.9976430191437
25.0, 557.0619803716518
